Time,water (gamma=0.1),cytoplasm (gamma=0.5),Dense fluid (gamma=2.0)
0.0,1.0,1.0,1.0
0.01001001001001001,0.9989989157271633,0.9970009185623745,0.9895439533170627
0.02002002002002002,0.9969981674147204,0.9930141640657308,0.9782154211865987
0.03003003003003003,0.9940007593130287,0.9880486767962949,0.9660440581507372
0.04004004004004004,0.990010690989288,0.9821143366803012,0.9530598506196792
0.050050050050050046,0.9850329523254858,0.9752219486569724,0.939293077574288
0.06006006006006006,0.979073517529381,0.9673832271942742,0.9247742717283537
0.07007007007007007,0.9721393381655092,0.9586107799672956,0.9095341811838009
0.08008008008008008,0.9642383352141769,0.9489180907198531,0.8936037316109071
0.09009009009009009,0.9553793901673632,0.9383195013306264,0.8770139889843912
0.10010010010010009,0.9455723351714195,0.9268301931058363,0.8597961229050172
0.11011011011011011,0.9348279422273887,0.914466167321139,0.8419813705351278
0.12012012012012012,0.9231579114607086,0.901244225036053,0.8236010011752897
0.13013013013013014,0.9105748584729761,0.8871819462048489,0.8046862815079967
0.14014014014014015,0.8970923007893655,0.8722976681084247,0.7852684415331324
0.15015015015015015,0.8827246434161751,0.8566104631322441,0.7653786412186495
0.16016016016016016,0.8674871635238635,0.8401401159159526,0.7450479378886804
0.17017017017017017,0.8513959942717907,0.8229070999007875,0.724307254370045
0.18018018018018017,0.8344681077917249,0.8049325533013711,0.70318734791688
0.19019019019019018,0.8167212973480035,0.7862382545289313,0.681718779931877
0.20020020020020018,0.7981741586930389,0.7668465970933958,0.6599318865013744
0.21021021021021022,0.7788460706376524,0.7467805640122103,0.6378567497603256
0.22022022022022023,0.7587571748564819,0.7260637017540721,0.6155231701019369
0.23023023023023023,0.7379283549494576,0.7047200937461112,0.5929606392455594
0.24024024024024024,0.7163812147810648,0.6827743334733347,0.5701983141752053
0.2502502502502503,0.6941380561198097,0.6602514971994292,0.5472649919598743
0.2602602602602603,0.6712218556009922,0.6371771163382416,0.5241890854656833
0.2702702702702703,0.6476562410365302,0.613577149505467,0.5009985999686238
0.2802802802802803,0.6234654670962267,0.5894779542802494,0.4777211106756182
0.2902902902902903,0.5986743903854622,0.5649062587065395,0.45438374116039487
0.3003003003003003,0.5733084439448822,0.5398891325641694,0.43101314271958285
0.3103103103103103,0.5473936111982015,0.5144539584396863,0.4076354746533089
0.3203203203203203,0.5209563993747712,0.48862840262703655,0.3842763854734921
0.3303303303303303,0.49402381243405874,0.4624403858882155,0.36096099504194984
0.34034034034034033,0.4666233235196558,0.43591805410398393,0.3377138776393767
0.35035035035035034,0.43878284697088105,0.40908974884471955,0.31455904596521994
0.36036036036036034,0.4105307099204526,0.3819839778913946,0.2915199360674577
0.37037037037037035,0.3818956235070949,0.35462938573657626,0.26861939320029304
0.38038038038038036,0.3529066537323009,0.3270547240952153,0.24587965860680253
0.39039039039039036,0.3235931919907973,0.2992888224548298,0.22332235722262753
0.40040040040040037,0.29398492530455783,0.2713605586945043,0.20096848629587064
0.41041041041041043,0.2641118062904767,0.24329882980190834,0.1788384049174525
0.42042042042042044,0.23400402289205233,0.21513252271729347,0.15695182445530897
0.43043043043043044,0.2036919679056334,0.18689048533315508,0.13532779988494892
0.44044044044044045,0.1732062083319621,0.15860149767794912,0.1139847220080681
0.45045045045045046,0.14257745458388285,0.13029424331192002,0.09294031055010499
0.46046046046046046,0.11183652958121015,0.10199728096275168,0.07221160812685101
0.47047047047047047,0.08101433776382079,0.0737390164283653,0.051814975069471435
0.4804804804804805,0.05014183405409288,0.045547674773788994,0.03176608509656949
0.4904904904904905,0.01924999279983119,0.017451272848590372,0.012079921821227226
0.5005005005005005,-0.011630223271192989,-0.010522407849089827,-0.007229223919716198
0.5105105105105106,-0.04246789405400045,-0.03834584793634274,-0.02614775592753109
0.5205205205205206,-0.0732321729954527,-0.0659918165120808,-0.0446627737086115
0.5305305305305306,-0.10389231791867937,-0.09343339710187465,-0.06276207276122496
0.5405405405405406,-0.1344177217121164,-0.12064401315705456,-0.08043414409715235
0.5505505505505506,-0.16477794285254901,-0.14759745308465685,-0.09766817301390439
0.5605605605605606,-0.19494273573175197,-0.17426789478538637,-0.1144540371337087
0.5705705705705706,-0.22488208075654514,-0.20062992967737345,-0.1307823037259402
0.5805805805805806,-0.2545662141923439,-0.22665858618413495,-0.14664422633012064
0.5905905905905906,-0.2839656577205633,-0.2523293526657903,-0.1620317406970332
0.6006006006006006,-0.31305124768055964,-0.2776181997732538,-0.17693746006589867
0.6106106106106106,-0.34179416396713125,-0.302501602205801,-0.19135466979592522
0.6206206206206206,-0.3701659585549797,-0.3269565598531094,-0.20527732137088675
0.6306306306306306,-0.39813858362193066,-0.3509606183035823,-0.21870002579569892
0.6406406406406406,-0.4256844192431482,-0.3744918887014969,-0.23161804640424938
0.6506506506506506,-0.45277630062902685,-0.39752906693625706,-0.24402729109799856
0.6606606606606606,-0.4793875448799424,-0.4200514521477892,-0.25592430403510497
0.6706706706706707,-0.5054919772315345,-0.44203896453288083,-0.26730625679002995
0.6806806806806807,-0.5310639567647537,-0.4634721624380514,-0.27817093900376944
0.6906906906906907,-0.5560784015554451,-0.4843322587253204,-0.2885167485450051
0.7007007007007007,-0.5805108132388457,-0.5046011363980513,-0.29834268120260976
0.7107107107107107,-0.6043373009649686,-0.5242613634748444,-0.3076483199300381
0.7207207207207207,-0.627534604721495,-0.5432962071002805,-0.31643382366222517
0.7307307307307307,-0.6500801180014397,-0.5616896468821323,-0.32469991572566553
0.7407407407407407,-0.6719519097935407,-0.5794263874454891,-0.3324478718623825
0.7507507507507507,-0.693128745874028,-0.5964918701950883,-0.33967950788851153
0.7607607607607607,-0.7135901093791361,-0.6128722842779656,-0.3463971670082014
0.7707707707707707,-0.7333162206384813,-0.6285545767394046,-0.35260370680351205
0.7807807807807807,-0.7522880562501674,-0.6435264618659878,-0.35830248592092395
0.7907907907907907,-0.7704873673792813,-0.6577764297104215,-0.3634973504750009
0.8008008008008007,-0.7878966972622173,-0.6712937537936371,-0.36819262018964716
0.8108108108108109,-0.8044993979001009,-0.6840684979805418,-0.37239307429728297
0.8208208208208209,-0.8202796459253889,-0.6960915225266151,-0.3761039372161214
0.8308308308308309,-0.8352224576265979,-0.7073544892934266,-0.37933086402557514
0.8408408408408409,-0.8493137031169339,-0.7178498661319632,-0.3820799257596393
0.8508508508508509,-0.8625401196335041,-0.7275709304335243,-0.38435759453790963
0.8608608608608609,-0.8748893239546476,-0.736511771848762,-0.386170728553674
0.8708708708708709,-0.8863498239238374,-0.7446672941762911,-0.3875265569382945
0.8808808808808809,-0.8969110290694988,-0.75203321642311,-0.38843266452084385
0.8908908908908909,-0.906563260311013,-0.7586060730399046,-0.38889697650170363
0.9009009009009009,-0.9152977587421012,-0.7643832133351163,-0.38892774305855266
0.9109109109109109,-0.9231066934837072,-0.7693628000724639,-0.388533523902882
0.9209209209209209,-0.9299831685994527,-0.7735438072574068,-0.3877231728048698
0.9309309309309309,-0.9359212290676653,-0.7769260171188223,-0.386505822104126
0.9409409409409409,-0.9409158658049526,-0.779510016292955,-0.3848908672234914
0.950950950950951,-0.9449630197372298,-0.781297191217454,-0.3828879512027254
0.960960960960961,-0.9480595849150825,-0.7822897227440758,-0.38050694926856526
0.970970970970971,-0.9502034106712951,-0.7824905799793723,-0.3777579534572727
0.980980980980981,-0.9513933028193479,-0.7819035133634088,-0.3746512573054054
0.990990990990991,-0.9516290238926354,-0.7805330469972821,-0.3711973406241667
1.001001001001001,-0.9509112924251316,-0.7783844702308995,-0.3674068543722896
1.011011011011011,-0.9492417812751781,-0.7754638285231753,-0.3632906056420083
1.021021021021021,-0.9466231149950329,-0.7717779135874676,-0.3588595427722575
1.031031031031031,-0.9430588662497703,-0.7673342528357336,-0.3541247406028227
1.0410410410410411,-0.9385535512900676,-0.7621410981355224,-0.3490973858827358
1.0510510510510511,-0.9331126244843613,-0.7562074138945379,-0.3437887628457819
1.0610610610610611,-0.9267424719167938,-0.7495428644881195,-0.33821023896554314
1.0710710710710711,-0.9194504040582909,-0.742157801045555,-0.33237325090196385
1.0810810810810811,-0.9112446475190469,-0.7340632476117258,-0.3262892906509776
1.0910910910910911,-0.9021343358915904,-0.7252708867011096,-0.3199698919082805
1.1011011011011012,-0.8921294996945186,-0.7157930442617106,-0.3134266166578881
1.1111111111111112,-0.8812410554278682,-0.7056426740669781,-0.30667104199565276
1.1211211211211212,-0.8694807937519795,-0.6948333415542698,-0.29971474719746294
1.1311311311311312,-0.8568613668025656,-0.6833792071288737,-0.29256930104138335
1.1411411411411412,-0.8433962746555626,-0.671295008953048,-0.28524624939253734
1.1511511511511512,-0.8290998509561665,-0.6585960452399588,-0.2777571030590707
1.1611611611611612,-0.8139872477272869,-0.6452981560727934,-0.2701133259270729
1.1711711711711712,-0.7980744193734587,-0.631417704769703,-0.2623263233818748
1.1811811811811812,-0.7813781058970358,-0.6169715588155843,-0.2544074310226799
1.1911911911911912,-0.7639158153442702,-0.6019770703820371,-0.24636790367702865
1.2012012012012012,-0.7457058054996266,-0.586452056457145,-0.23821890472114046
